DATAFLOW,REF_AREA,FREQ,MEASURE,UNIT_MEASURE,TIME_PERIOD,OBS_VALUE,DECIMALS,OBS_STATUS,UNIT_MULT,CONF_STATUS,BASE_PER
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE03,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE05,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE07,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE09,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE13,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE14,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE18,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE19,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE20,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE21,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),PE24,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU19,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU20,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU22,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU27,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
OECD.ENV.EPI:DSD_LAND@DF_LAND_COVER(1.0),RU59,_O,LCC_SUR_ART_GAIN,KM2,2005,0,2,A,0,,
