geo,variant,year,population,net_migration,olddep,PC_Y0_14,PC_Y15_64,share65
IE,LFRT,2027,5277428.0,16700.0,25.1,16.7,66.6,16.700000000000003
IE,LFRT,2028,5298664.0,16947.0,25.6,16.1,66.8,17.10000000000001
IE,LFRT,2029,5319804.0,17163.0,26.2,15.6,66.9,17.5
IE,LFRT,2030,5340890.0,17308.0,26.8,15.1,67.0,17.900000000000006
IE,LFRT,2031,5361941.0,17419.0,27.3,14.7,67.0,18.299999999999997
IE,LFRT,2032,5382962.0,17479.0,27.9,14.2,67.1,18.700000000000003
IE,LFRT,2033,5403920.0,17492.0,28.4,13.8,67.1,19.10000000000001
IE,LFRT,2034,5424802.0,20496.0,29.0,13.5,67.1,19.400000000000006
IE,LFRT,2035,5448555.0,20169.0,29.6,13.2,67.0,19.799999999999997
IE,LFRT,2036,5471813.0,19801.0,30.4,13.0,66.8,20.200000000000003
IE,LFRT,2037,5494528.0,19443.0,31.1,12.7,66.6,20.700000000000003
IE,LFRT,2038,5516657.0,20506.0,31.8,12.5,66.4,21.099999999999994
IE,LFRT,2039,5539550.0,20363.0,32.7,12.6,65.9,21.5
IE,LFRT,2040,5561972.0,20171.0,33.7,12.7,65.3,22.0
IE,LFRT,2041,5583744.0,19903.0,34.7,12.7,64.8,22.5
IE,LFRT,2042,5604737.0,19729.0,35.7,12.8,64.2,23.0
IE,LFRT,2043,5624858.0,19586.0,36.7,12.9,63.7,23.39999999999999
IE,LFRT,2044,5643987.0,19745.0,37.8,13.0,63.1,23.9
IE,LFRT,2045,5662269.0,19483.0,39.1,13.1,62.5,24.400000000000006
IE,LFRT,2046,5679146.0,18910.0,40.4,13.1,61.9,25.000000000000007
IE,LFRT,2047,5694133.0,18413.0,41.6,13.2,61.3,25.5
IE,LFRT,2048,5707195.0,17879.0,42.7,13.2,60.8,26.0
IE,LFRT,2049,5718195.0,17312.0,43.7,13.2,60.4,26.4
IE,LFRT,2050,5727008.0,16986.0,44.6,13.2,60.0,26.799999999999997
IE,LFRT,2051,5733807.0,16488.0,45.4,13.2,59.7,27.099999999999994
IE,LFRT,2052,5738352.0,15992.0,46.1,13.1,59.5,27.400000000000006
IE,LFRT,2053,5740592.0,15954.0,46.6,13.0,59.3,27.700000000000003
IE,LFRT,2054,5741021.0,15541.0,47.2,12.9,59.2,27.89999999999999
IE,LFRT,2055,5739227.0,15414.0,47.7,12.8,59.1,28.1
IE,LFRT,2056,5735517.0,15243.0,48.1,12.6,59.0,28.400000000000006
IE,LFRT,2057,5729906.0,15095.0,48.5,12.4,59.0,28.599999999999994
IE,LFRT,2058,5722481.0,15067.0,48.8,12.2,59.0,28.799999999999997
IE,LFRT,2059,5713487.0,15104.0,49.2,12.1,59.0,28.900000000000006
IE,LFRT,2060,5703143.0,15185.0,49.5,11.9,59.0,29.099999999999994
IE,LFRT,2061,5691610.0,15344.0,49.8,11.7,59.0,29.299999999999997
IE,LFRT,2062,5679173.0,15777.0,50.2,11.5,58.9,29.6
IE,LFRT,2063,5666234.0,15932.0,50.8,11.3,58.8,29.900000000000006
IE,LFRT,2064,5652677.0,16104.0,51.4,11.1,58.7,30.200000000000003
IE,LFRT,2065,5638655.0,16198.0,52.0,11.0,58.6,30.4
IE,LFRT,2066,5624218.0,16393.0,52.6,10.8,58.4,30.800000000000004
IE,LFRT,2067,5609585.0,16587.0,53.3,10.7,58.3,31.0
IE,LFRT,2068,5594804.0,16749.0,54.0,10.6,58.1,31.300000000000004
IE,LFRT,2069,5579940.0,16897.0,54.7,10.5,57.8,31.700000000000003
IE,LFRT,2070,5565014.0,17137.0,55.5,10.5,57.6,31.9
IE,LMIGR,2023,5174288.0,14736.0,23.2,19.4,65.4,15.199999999999989
IE,LMIGR,2024,5207115.0,226.0,23.7,18.9,65.5,15.599999999999994
IE,LMIGR,2025,5224047.0,1702.0,24.3,18.4,65.6,16.0
IE,LMIGR,2026,5241443.0,3113.0,24.9,17.9,65.7,16.39999999999999
IE,LMIGR,2027,5259391.0,4440.0,25.4,17.4,65.8,16.799999999999997
IE,LMIGR,2028,5277963.0,4763.0,26.0,17.0,65.9,17.099999999999994
IE,LMIGR,2029,5296316.0,5034.0,26.6,16.6,65.8,17.60000000000001
IE,LMIGR,2030,5314513.0,5237.0,27.3,16.3,65.7,18.0
IE,LMIGR,2031,5332613.0,5411.0,27.9,16.0,65.6,18.400000000000006
IE,LMIGR,2032,5350639.0,5536.0,28.6,15.7,65.5,18.799999999999997
