ccaa,anyo,ipv_general,salario_medio_anual,salario_idx,ratio_asequibilidad
"Madrid, Comunidad de",2021,147.206,29512.58,111.58702119325288,1.3192035993600018
"Madrid, Comunidad de",2022,157.232,31230.73,118.08334379409588,1.3315341092827482
"Madrid, Comunidad de",2023,163.414,32219.6,121.82225979694525,1.3414133038771432
"Madrid, Comunidad de",2024,175.952,34410.01,130.1041967571132,1.3523929618387207
"Murcia, Región de",2008,140.303,18911.75,90.36154652543985,1.5526848022737185
"Murcia, Región de",2009,138.882,20430.4,97.6177529913068,1.4227125266074085
"Murcia, Región de",2010,137.444,20863.37,99.68651123943928,1.378762264734796
"Murcia, Región de",2011,130.497,21077.49,100.70959024281166,1.2957753048678946
"Murcia, Región de",2012,115.925,20682.01,98.81996160347995,1.1730929472038742
"Murcia, Región de",2013,98.18,20449.83,97.71059076935428,1.004804077295508
"Murcia, Región de",2014,98.365,20717.07,98.98748051744519,0.9937115227684222
"Murcia, Región de",2015,100.0,20928.98,100.0,1.0
"Murcia, Región de",2016,101.397,21242.5,101.49801853697599,0.9990047240484878
"Murcia, Región de",2017,102.612,21309.22,101.81681094826409,1.0078099976254409
"Murcia, Región de",2018,106.14,21510.59,102.77896963922753,1.0327015378006832
"Murcia, Región de",2019,110.973,22123.99,105.70983392406129,1.0497888028063653
"Murcia, Región de",2020,114.378,22919.62,109.51140476028931,1.0444391636685078
"Murcia, Región de",2021,120.327,23281.39,111.23996487167554,1.081688583224627
"Murcia, Región de",2022,129.515,23851.69,113.96489461024856,1.136446450838494
"Murcia, Región de",2023,132.505,25329.87,121.02773283743402,1.0948317124801668
"Murcia, Región de",2024,143.767,26349.36,125.89892101765112,1.1419240040972531
"Navarra, Comunidad Foral de",2008,179.108,23342.74,93.88175183538597,1.9078041951544678
"Navarra, Comunidad Foral de",2009,161.204,23657.71,95.14852408986816,1.6942354234285566
"Navarra, Comunidad Foral de",2010,151.057,23824.88,95.82086214676814,1.5764521067304431
"Navarra, Comunidad Foral de",2011,139.463,24384.92,98.07327708596934,1.4220285499152756
"Navarra, Comunidad Foral de",2012,119.902,23784.38,95.6579759153603,1.2534448785127046
"Navarra, Comunidad Foral de",2013,106.285,23836.93,95.86932582796479,1.1086444916774099
"Navarra, Comunidad Foral de",2014,99.395,24700.78,99.34362881566024,1.0005171059780298
"Navarra, Comunidad Foral de",2015,100.0,24863.98,100.0,1.0
"Navarra, Comunidad Foral de",2016,101.676,25468.38,102.430825636121,0.9926308742369951
"Navarra, Comunidad Foral de",2017,103.935,26329.79,105.89531523110942,0.9814881779535651
"Navarra, Comunidad Foral de",2018,107.557,26364.75,106.03592023481359,1.0143449480309883
"Navarra, Comunidad Foral de",2019,111.614,27493.93,110.57734924175455,1.009374892465355
"Navarra, Comunidad Foral de",2020,113.491,27995.96,112.59645479122811,1.007944701371198
"Navarra, Comunidad Foral de",2021,116.689,28459.37,114.46023524793698,1.01947195676503
"Navarra, Comunidad Foral de",2022,125.153,29189.52,117.39681257787369,1.0660681261425335
"Navarra, Comunidad Foral de",2023,132.566,31199.66,125.48135897792712,1.0564597090737526
"Navarra, Comunidad Foral de",2024,146.359,32605.28,131.13459711598867,1.116097530467458
País Vasco,2008,157.062,25547.13,92.6583829350147,1.6950651956677718
País Vasco,2009,140.915,26162.45,94.89012310260195,1.4850333774742044
País Vasco,2010,138.62,26593.7,96.45424900013818,1.4371580457777595
País Vasco,2011,127.966,26370.36,95.64420406574806,1.3379378421303312
País Vasco,2012,108.614,26535.61,96.24355897489093,1.1285326639711692
País Vasco,2013,99.535,26915.07,97.6198446863787,1.0196185040016614
País Vasco,2014,99.04,27786.57,100.78073910887804,0.9827274623676114
