ccaa,anyo,ipc_media_anual
País Vasco,2013,19.87547916666667
País Vasco,2014,19.38329166666667
País Vasco,2015,19.415458333333333
País Vasco,2016,19.59925
País Vasco,2017,20.3491875
País Vasco,2018,20.7911875
País Vasco,2019,20.839854166666665
País Vasco,2020,20.17439583333333
País Vasco,2021,22.74908333333333
País Vasco,2022,25.970708333333334
País Vasco,2023,25.1501875
País Vasco,2024,25.7510625
País Vasco,2025,26.224979166666667
País Vasco,2026,26.687916666666666
"Rioja, La",2001,15.123000000000001
"Rioja, La",2002,16.2898125
"Rioja, La",2003,16.50102083333333
"Rioja, La",2004,16.983604166666666
"Rioja, La",2005,17.941770833333333
"Rioja, La",2006,18.45114583333333
"Rioja, La",2007,18.70575
"Rioja, La",2008,19.548750000000002
"Rioja, La",2009,17.89314583333333
"Rioja, La",2010,19.186791666666668
"Rioja, La",2011,20.2335
"Rioja, La",2012,20.512249999999998
"Rioja, La",2013,19.91875
"Rioja, La",2014,19.430583333333335
"Rioja, La",2015,19.513041666666666
"Rioja, La",2016,19.548541666666665
"Rioja, La",2017,20.325708333333335
"Rioja, La",2018,20.876562500000002
"Rioja, La",2019,20.8146875
"Rioja, La",2020,19.915604166666668
"Rioja, La",2021,22.8829375
"Rioja, La",2022,26.522229166666666
"Rioja, La",2023,25.2508125
"Rioja, La",2024,25.612062500000004
"Rioja, La",2025,25.935104166666665
"Rioja, La",2026,26.4645
