iso3,medida,anyo,quarter,valor
SWE,RHP,2019,1,108.141786576082
SWE,RHP,2019,2,108.075914967547
SWE,RHP,2019,3,109.791124174153
SWE,RHP,2019,4,110.584602322936
SWE,RHP,2020,1,111.361904005841
SWE,RHP,2020,2,110.63498372525
SWE,RHP,2020,3,113.038820144718
SWE,RHP,2020,4,116.027405506196
SWE,RHP,2021,1,117.608966500312
SWE,RHP,2021,2,119.762002540147
SWE,RHP,2021,3,123.835800221237
SWE,RHP,2021,4,124.846271162321
SWE,RHP,2022,1,125.284825207963
SWE,RHP,2022,2,120.971876920329
SWE,RHP,2022,3,115.618421132983
SWE,RHP,2022,4,110.224718131718
SWE,RHP,2023,1,107.189734916516
SWE,RHP,2023,2,104.68658774024
SWE,RHP,2023,3,103.715494340752
SWE,RHP,2023,4,103.380578620775
SWE,RHP,2024,1,101.596395630945
SWE,RHP,2024,2,101.168128213153
SWE,RHP,2024,3,101.989891541514
SWE,RHP,2024,4,102.469312313011
SWE,RHP,2025,1,101.287486748825
