iso3,medida,anyo,valor
UKI,LCC_SUR_ART_GAIN,2005,87.31674092
UKJ,LCC_SUR_ART_GAIN,2005,461.5680008
UKK,LCC_SUR_ART_GAIN,2005,332.2717958
UKL,LCC_SUR_ART_GAIN,2005,233.4561193
UKM,LCC_SUR_ART_GAIN,2005,91.80962358
UKN,LCC_SUR_ART_GAIN,2005,108.8630785
USA,LCC_SUR_ART_GAIN,2005,15406.00489
AFG,LCC_SUR_ART_GAIN,2005,131.9244703
ALB,LCC_SUR_ART_GAIN,2005,12.90657093
DZA,LCC_SUR_ART_GAIN,2005,367.4840847
AGO,LCC_SUR_ART_GAIN,2005,247.4459644
AND,LCC_SUR_ART_GAIN,2005,0.067853542
ATG,LCC_SUR_ART_GAIN,2005,0.086395983
ARG,LCC_SUR_ART_GAIN,2005,338.4574667
ARM,LCC_SUR_ART_GAIN,2005,70.91144094
AZE,LCC_SUR_ART_GAIN,2005,180.401482
BHS,LCC_SUR_ART_GAIN,2005,5.68079362
BHR,LCC_SUR_ART_GAIN,2005,56.49528151
GGY,LCC_SUR_ART_GAIN,2005,5.439155224
BGD,LCC_SUR_ART_GAIN,2005,190.3862176
BRB,LCC_SUR_ART_GAIN,2005,3.952055243
BLR,LCC_SUR_ART_GAIN,2005,753.9971718
BLZ,LCC_SUR_ART_GAIN,2005,10.39067426
BEN,LCC_SUR_ART_GAIN,2005,85.85238667
BTN,LCC_SUR_ART_GAIN,2005,0.084846572
BOL,LCC_SUR_ART_GAIN,2005,95.54635146
BIH,LCC_SUR_ART_GAIN,2005,34.65293904
BWA,LCC_SUR_ART_GAIN,2005,34.72559059
BRA,LCC_SUR_ART_GAIN,2005,3872.503465
VGB,LCC_SUR_ART_GAIN,2005,0.707958823
BRN,LCC_SUR_ART_GAIN,2005,15.42989013
BGR,LCC_SUR_ART_GAIN,2005,123.2124465
BFA,LCC_SUR_ART_GAIN,2005,75.27686625
BDI,LCC_SUR_ART_GAIN,2005,32.33559645
KHM,LCC_SUR_ART_GAIN,2005,16.22648909
CMR,LCC_SUR_ART_GAIN,2005,139.7118875
CYM,LCC_SUR_ART_GAIN,2005,1.133772099
CAF,LCC_SUR_ART_GAIN,2005,15.77602026
TCD,LCC_SUR_ART_GAIN,2005,9.97154503
CHN,LCC_SUR_ART_GAIN,2005,26033.83767
COM,LCC_SUR_ART_GAIN,2005,0.811076465
COG,LCC_SUR_ART_GAIN,2005,45.37656888
CIV,LCC_SUR_ART_GAIN,2005,214.8167221
HRV,LCC_SUR_ART_GAIN,2005,195.3892695
CUB,LCC_SUR_ART_GAIN,2005,60.81391485
CYP,LCC_SUR_ART_GAIN,2005,104.6800697
PRK,LCC_SUR_ART_GAIN,2005,6.677961796
COD,LCC_SUR_ART_GAIN,2005,326.0588479
DJI,LCC_SUR_ART_GAIN,2005,0.092988093
DOM,LCC_SUR_ART_GAIN,2005,109.2893591
ECU,LCC_SUR_ART_GAIN,2005,7.806716412
EGY,LCC_SUR_ART_GAIN,2005,646.4070613
SLV,LCC_SUR_ART_GAIN,2005,19.55008861
GNQ,LCC_SUR_ART_GAIN,2005,15.01303877
SWZ,LCC_SUR_ART_GAIN,2005,3.49325592
ETH,LCC_SUR_ART_GAIN,2005,38.31126285
FJI,LCC_SUR_ART_GAIN,2005,0.088978666
GAB,LCC_SUR_ART_GAIN,2005,57.89252777
GMB,LCC_SUR_ART_GAIN,2005,6.121861465
GEO,LCC_SUR_ART_GAIN,2005,97.71353752
GHA,LCC_SUR_ART_GAIN,2005,375.3415804
GTM,LCC_SUR_ART_GAIN,2005,97.37168465
GIN,LCC_SUR_ART_GAIN,2005,30.82463474
GNB,LCC_SUR_ART_GAIN,2005,8.779143008
GUY,LCC_SUR_ART_GAIN,2005,35.18244879
HTI,LCC_SUR_ART_GAIN,2005,52.99841959
HND,LCC_SUR_ART_GAIN,2005,47.92953922
HKG,LCC_SUR_ART_GAIN,2005,18.03284143
IND,LCC_SUR_ART_GAIN,2005,6708.460691
IDN,LCC_SUR_ART_GAIN,2005,1128.106965
IRN,LCC_SUR_ART_GAIN,2005,644.9330103
IRQ,LCC_SUR_ART_GAIN,2005,370.2897153
IMN,LCC_SUR_ART_GAIN,2005,4.396403786
JAM,LCC_SUR_ART_GAIN,2005,16.91006466
JEY,LCC_SUR_ART_GAIN,2005,4.390810154
JOR,LCC_SUR_ART_GAIN,2005,48.57847054
KAZ,LCC_SUR_ART_GAIN,2005,1081.454566
KEN,LCC_SUR_ART_GAIN,2005,84.33527669
KWT,LCC_SUR_ART_GAIN,2005,150.0728498
KGZ,LCC_SUR_ART_GAIN,2005,357.1027546
LAO,LCC_SUR_ART_GAIN,2005,26.660198
LBN,LCC_SUR_ART_GAIN,2005,30.62888117
LSO,LCC_SUR_ART_GAIN,2005,4.065761595
LBR,LCC_SUR_ART_GAIN,2005,15.71808542
LBY,LCC_SUR_ART_GAIN,2005,193.5123643
LIE,LCC_SUR_ART_GAIN,2005,8.670852312
MAC,LCC_SUR_ART_GAIN,2005,0.529589638
MDG,LCC_SUR_ART_GAIN,2005,26.97205355
MWI,LCC_SUR_ART_GAIN,2005,13.09570638
MYS,LCC_SUR_ART_GAIN,2005,677.8018607
MLI,LCC_SUR_ART_GAIN,2005,83.47090403
MLT,LCC_SUR_ART_GAIN,2005,10.2566635
MRT,LCC_SUR_ART_GAIN,2005,3.951245677
MUS,LCC_SUR_ART_GAIN,2005,12.90362761
MDA,LCC_SUR_ART_GAIN,2005,845.0205384
MCO,LCC_SUR_ART_GAIN,2005,0.041125822
MNG,LCC_SUR_ART_GAIN,2005,81.91564388
MAR,LCC_SUR_ART_GAIN,2005,214.0821508
MOZ,LCC_SUR_ART_GAIN,2005,112.2236113
MMR,LCC_SUR_ART_GAIN,2005,105.8874374
NAM,LCC_SUR_ART_GAIN,2005,10.97435149
NPL,LCC_SUR_ART_GAIN,2005,56.26610678
NCL,LCC_SUR_ART_GAIN,2005,11.21745125
NIC,LCC_SUR_ART_GAIN,2005,11.5425996
NER,LCC_SUR_ART_GAIN,2005,9.185747815
NGA,LCC_SUR_ART_GAIN,2005,1130.389413
MKD,LCC_SUR_ART_GAIN,2005,9.136648705
OMN,LCC_SUR_ART_GAIN,2005,20.44776286
PAK,LCC_SUR_ART_GAIN,2005,1540.544405
PSE,LCC_SUR_ART_GAIN,2005,65.11594468
PAN,LCC_SUR_ART_GAIN,2005,19.47699051
PNG,LCC_SUR_ART_GAIN,2005,8.189538288
PRY,LCC_SUR_ART_GAIN,2005,140.4610503
PER,LCC_SUR_ART_GAIN,2005,86.16108022
PHL,LCC_SUR_ART_GAIN,2005,109.5103378
PRI,LCC_SUR_ART_GAIN,2005,61.64313788
QAT,LCC_SUR_ART_GAIN,2005,41.03095138
ROU,LCC_SUR_ART_GAIN,2005,2570.624079
RUS,LCC_SUR_ART_GAIN,2005,6885.150836
RWA,LCC_SUR_ART_GAIN,2005,53.83378291
KNA,LCC_SUR_ART_GAIN,2005,0.084870962
SPM,LCC_SUR_ART_GAIN,2005,0.972233138
SMR,LCC_SUR_ART_GAIN,2005,0.712602467
SAU,LCC_SUR_ART_GAIN,2005,438.90929
SEN,LCC_SUR_ART_GAIN,2005,100.9463911
SRB,LCC_SUR_ART_GAIN,2005,152.2044148
SLE,LCC_SUR_ART_GAIN,2005,63.7769359
SGP,LCC_SUR_ART_GAIN,2005,77.22721652
SOM,LCC_SUR_ART_GAIN,2005,9.064883258
ZAF,LCC_SUR_ART_GAIN,2005,1205.514236
LKA,LCC_SUR_ART_GAIN,2005,63.85386124
SUR,LCC_SUR_ART_GAIN,2005,37.41942774
