freq,mortalit,sex,icd10,unit,geo,time,value
A,TRT,T,TOTAL,RT,EU28,2011,102.32
A,TRT,T,TOTAL,RT,EU28,2012,100.63
A,TRT,T,TOTAL,RT,EU28,2013,97.62
A,TRT,T,TOTAL,RT,EU28,2014,94.05
A,TRT,T,TOTAL,RT,EU28,2015,95.09
A,TRT,T,TOTAL,RT,EU28,2016,92.8
A,TRT,T,TOTAL,RT,EU28,2017,91.65
A,TRT,T,TOTAL,RT,FI,2011,86.49
A,TRT,T,TOTAL,RT,FI,2012,84.97
A,TRT,T,TOTAL,RT,FI,2013,80.46
A,TRT,T,TOTAL,RT,FI,2014,77.36
A,TRT,T,TOTAL,RT,FI,2015,74.89
A,TRT,T,TOTAL,RT,FI,2016,76.81
A,TRT,T,TOTAL,RT,FI,2017,75.72
A,TRT,T,TOTAL,RT,FI,2018,71.11
A,TRT,T,TOTAL,RT,FI,2019,69.09
A,TRT,T,TOTAL,RT,FI,2020,71.25
A,TRT,T,TOTAL,RT,FI,2021,69.77
A,TRT,T,TOTAL,RT,FI,2022,70.85
A,TRT,T,TOTAL,RT,FI,2023,68.18
A,TRT,T,TOTAL,RT,FR,2011,67.64
A,TRT,T,TOTAL,RT,FR,2012,66.06
A,TRT,T,TOTAL,RT,FR,2013,65.08
A,TRT,T,TOTAL,RT,FR,2014,62.9
A,TRT,T,TOTAL,RT,FR,2015,62.86
A,TRT,T,TOTAL,RT,FR,2016,62.54
A,TRT,T,TOTAL,RT,FR,2017,62.05
A,TRT,T,TOTAL,RT,FR,2018,61.15
A,TRT,T,TOTAL,RT,FR,2019,60.31
A,TRT,T,TOTAL,RT,FR,2020,59.04
A,TRT,T,TOTAL,RT,FR,2021,58.82
A,TRT,T,TOTAL,RT,FR,2022,59.39
A,TRT,T,TOTAL,RT,FR,2023,58.76
A,TRT,T,TOTAL,RT,GE,2023,176.22
A,TRT,T,TOTAL,RT,HR,2011,154.72
A,TRT,T,TOTAL,RT,HR,2012,150.64
A,TRT,T,TOTAL,RT,HR,2013,141.75
A,TRT,T,TOTAL,RT,HR,2014,144.91
A,TRT,T,TOTAL,RT,HR,2015,149.37
A,TRT,T,TOTAL,RT,HR,2016,139.54
A,TRT,T,TOTAL,RT,HR,2017,139.08
A,TRT,T,TOTAL,RT,HR,2018,133.13
A,TRT,T,TOTAL,RT,HR,2019,128.28
A,TRT,T,TOTAL,RT,HR,2020,130.77
A,TRT,T,TOTAL,RT,HR,2021,139.74
A,TRT,T,TOTAL,RT,HR,2022,133.47
A,TRT,T,TOTAL,RT,HR,2023,126.14
A,TRT,T,TOTAL,RT,HU,2011,197.53
A,TRT,T,TOTAL,RT,HU,2012,193.03
A,TRT,T,TOTAL,RT,HU,2013,184.94
A,TRT,T,TOTAL,RT,HU,2014,182.65
A,TRT,T,TOTAL,RT,HU,2015,183.9
A,TRT,T,TOTAL,RT,HU,2016,175.96
A,TRT,T,TOTAL,RT,HU,2017,179.0
A,TRT,T,TOTAL,RT,HU,2018,175.95
A,TRT,T,TOTAL,RT,HU,2019,173.23
A,TRT,T,TOTAL,RT,HU,2020,179.55
A,TRT,T,TOTAL,RT,HU,2021,188.86
A,TRT,T,TOTAL,RT,HU,2022,178.4
A,TRT,T,TOTAL,RT,HU,2023,172.31
A,TRT,T,TOTAL,RT,IE,2011,93.99
A,TRT,T,TOTAL,RT,IE,2012,89.67
A,TRT,T,TOTAL,RT,IE,2013,86.49
A,TRT,T,TOTAL,RT,IE,2014,83.73
A,TRT,T,TOTAL,RT,IE,2015,83.81
A,TRT,T,TOTAL,RT,IE,2016,80.12
A,TRT,T,TOTAL,RT,IE,2017,73.31
A,TRT,T,TOTAL,RT,IE,2018,75.9
A,TRT,T,TOTAL,RT,IE,2019,71.03
A,TRT,T,TOTAL,RT,IE,2020,69.65
A,TRT,T,TOTAL,RT,IE,2021,69.19
A,TRT,T,TOTAL,RT,IE,2022,70.42
A,TRT,T,TOTAL,RT,IE,2023,67.62
A,TRT,T,TOTAL,RT,IS,2011,64.15
A,TRT,T,TOTAL,RT,IS,2012,62.15
A,TRT,T,TOTAL,RT,IS,2013,68.47
A,TRT,T,TOTAL,RT,IS,2014,62.69
A,TRT,T,TOTAL,RT,IS,2015,66.81
A,TRT,T,TOTAL,RT,IS,2016,62.35
A,TRT,T,TOTAL,RT,IS,2017,56.19
A,TRT,T,TOTAL,RT,IS,2018,63.57
A,TRT,T,TOTAL,RT,IS,2019,56.85
A,TRT,T,TOTAL,RT,IS,2020,57.73
A,TRT,T,TOTAL,RT,IS,2021,59.16
A,TRT,T,TOTAL,RT,IS,2022,59.73
A,TRT,T,TOTAL,RT,IS,2023,57.67
A,TRT,T,TOTAL,RT,IT,2011,75.43
A,TRT,T,TOTAL,RT,IT,2012,75.07
A,TRT,T,TOTAL,RT,IT,2013,71.4
A,TRT,T,TOTAL,RT,IT,2014,69.02
A,TRT,T,TOTAL,RT,IT,2015,71.31
A,TRT,T,TOTAL,RT,IT,2016,66.68
A,TRT,T,TOTAL,RT,IT,2017,66.5
A,TRT,T,TOTAL,RT,IT,2018,65.19
A,TRT,T,TOTAL,RT,IT,2019,63.71
A,TRT,T,TOTAL,RT,IT,2020,66.45
A,TRT,T,TOTAL,RT,IT,2021,64.48
A,TRT,T,TOTAL,RT,IT,2022,63.46
A,TRT,T,TOTAL,RT,IT,2023,61.85
A,TRT,T,TOTAL,RT,LI,2011,67.87
A,TRT,T,TOTAL,RT,LI,2012,71.48
A,TRT,T,TOTAL,RT,LI,2013,70.95
A,TRT,T,TOTAL,RT,LI,2014,47.31
A,TRT,T,TOTAL,RT,LI,2015,75.26
A,TRT,T,TOTAL,RT,LI,2016,62.64
A,TRT,T,TOTAL,RT,LI,2017,61.11
A,TRT,T,TOTAL,RT,LI,2018,53.49
A,TRT,T,TOTAL,RT,LI,2019,56.08
A,TRT,T,TOTAL,RT,LI,2020,56.03
A,TRT,T,TOTAL,RT,LI,2021,52.34
A,TRT,T,TOTAL,RT,LI,2022,49.37
A,TRT,T,TOTAL,RT,LI,2023,30.7
A,TRT,T,TOTAL,RT,LT,2011,221.45
A,TRT,T,TOTAL,RT,LT,2012,219.07
A,TRT,T,TOTAL,RT,LT,2013,214.73
A,TRT,T,TOTAL,RT,LT,2014,201.96
A,TRT,T,TOTAL,RT,LT,2015,212.98
A,TRT,T,TOTAL,RT,LT,2016,205.61
A,TRT,T,TOTAL,RT,LT,2017,184.89
A,TRT,T,TOTAL,RT,LT,2018,185.63
A,TRT,T,TOTAL,RT,LT,2019,181.03
A,TRT,T,TOTAL,RT,LT,2020,199.73
A,TRT,T,TOTAL,RT,LT,2021,190.86
A,TRT,T,TOTAL,RT,LT,2022,183.42
A,TRT,T,TOTAL,RT,LT,2023,163.31
A,TRT,T,TOTAL,RT,LU,2011,83.01
A,TRT,T,TOTAL,RT,LU,2012,76.56
A,TRT,T,TOTAL,RT,LU,2013,83.65
A,TRT,T,TOTAL,RT,LU,2014,67.02
A,TRT,T,TOTAL,RT,LU,2015,70.56
A,TRT,T,TOTAL,RT,LU,2016,70.86
A,TRT,T,TOTAL,RT,LU,2017,73.14
A,TRT,T,TOTAL,RT,LU,2018,68.51
A,TRT,T,TOTAL,RT,LU,2019,63.64
A,TRT,T,TOTAL,RT,LU,2020,60.25
