iso3,funcion,year,pct_gdp
MDA,GF03,2013,2.043287327833695
MDA,GF03,2014,2.102236771506361
MDA,GF03,2015,2.060463086799199
MDA,GF03,2016,2.082895929741534
MDA,GF03,2017,2.296211668910788
MDA,GF03,2018,2.314682742666006
MDA,GF03,2019,2.095548731498008
MDA,GF03,2020,2.388380319465794
MDA,GF03,2021,2.111834498203474
MDA,GF03,2022,2.276849958603148
MDA,GF03,2023,2.171869001724283
MDV,GF03,1990,0.739011878847647
MDV,GF03,1991,0.717292519308097
MDV,GF03,1992,0.671195134516342
MDV,GF03,1993,1.07293410024722
MDV,GF03,1994,0.923456279385034
MDV,GF03,1995,0.824248137410472
MDV,GF03,1996,0.749371367210556
MDV,GF03,1997,0.548239713403011
MDV,GF03,1998,0.883493457196347
MDV,GF03,1999,0.607662828361213
MDV,GF03,2000,0.766445044640327
MDV,GF03,2001,0.837924438521927
MDV,GF03,2002,0.729143251396524
MDV,GF03,2003,0.669779114467914
MDV,GF03,2004,0.64508322682736
MDV,GF03,2005,2.6317885660042
MDV,GF03,2006,2.48976258676036
MDV,GF03,2007,3.45260027646597
MDV,GF03,2008,3.37860712643292
MDV,GF03,2009,3.9007621528579
MLT,GF03,1995,1.625680087051143
MLT,GF03,1996,1.829198606271777
MLT,GF03,1997,1.920578778135048
MLT,GF03,1998,1.913751507840772
MLT,GF03,1999,1.58992684299381
MLT,GF03,2000,1.529490291262136
MLT,GF03,2001,1.59529053420806
MLT,GF03,2002,1.549644444444444
MLT,GF03,2003,1.587376601554295
MLT,GF03,2004,1.536278310548868
MLT,GF03,2005,1.482571484147053
MLT,GF03,2006,1.410406987548783
MLT,GF03,2007,1.389113880235376
MLT,GF03,2008,1.379858883899936
MLT,GF03,2009,1.42402989821883
MLT,GF03,2010,1.345715534829496
MLT,GF03,2011,1.34370823261766
MLT,GF03,2012,1.36322192513369
MLT,GF03,2013,1.311920285397958
MLT,GF03,2014,1.241758855738071
MLT,GF03,2015,1.102719890421681
MLT,GF03,2016,1.079933726067747
MLT,GF03,2017,1.011997447351627
MLT,GF03,2018,1.081650705460926
MLT,GF03,2019,1.168528162258462
MLT,GF03,2020,1.343152544732994
MLT,GF03,2021,1.351216297183942
MLT,GF03,2022,1.401324061196106
MLT,GF03,2023,1.399760891396872
MMR,GF03,2012,0.360649811227391
MMR,GF03,2013,0.525571870992242
MMR,GF03,2014,0.530081360367173
MMR,GF03,2015,0.518947325590603
MMR,GF03,2016,0.629321612657918
MMR,GF03,2017,0.575713944536287
MMR,GF03,2018,0.388343938792776
MMR,GF03,2019,0.563823412900686
MNG,GF03,1993,0.9899989897969492
MNG,GF03,1994,1.06646637163278
MNG,GF03,1995,1.097388004715591
MNG,GF03,1996,1.33374525912707
MNG,GF03,1997,1.26322988104094
MNG,GF03,1998,1.533220302053707
MNG,GF03,2000,1.949165973618983
MNG,GF03,2001,2.06533905988887
MNG,GF03,2002,1.919258276285462
MNG,GF03,2010,1.676713039772404
MNG,GF03,2011,1.512492671987495
MNG,GF03,2012,1.679817704308736
MNG,GF03,2016,2.462995576221527
MNG,GF03,2017,2.349869038421767
MNG,GF03,2018,2.356970137166188
MNG,GF03,2019,1.774038448335239
MNG,GF03,2020,1.876582715244154
MNG,GF03,2021,1.761602499791496
MNG,GF03,2023,1.719127194358551
MNG,GF03,2024,2.222712597034818
MUS,GF03,2002,1.634788273615635
MUS,GF03,2003,1.693907615626037
MUS,GF03,2004,1.864229710459097
MUS,GF03,2005,1.788175929217522
MUS,GF03,2006,1.766096577249846
MUS,GF03,2007,1.554048568125669
MUS,GF03,2008,1.436436280074007
MUS,GF03,2009,1.736989488778561
MUS,GF03,2010,1.83599644988994
MUS,GF03,2011,2.080996959107607
MUS,GF03,2012,1.938176241329337
MUS,GF03,2013,2.459891206138666
MUS,GF03,2014,2.210068516073815
MUS,GF03,2015,1.181797921035224
MUS,GF03,2016,2.105252263698811
MUS,GF03,2017,2.182187759812038
MUS,GF03,2018,1.999309293735375
MUS,GF03,2019,2.090989224573703
MUS,GF03,2020,2.495078298954785
MUS,GF03,2021,2.283158976372526
MUS,GF03,2022,2.309764425731324
MUS,GF03,2023,2.205020071545576
MUS,GF03,2024,2.051107984603423
NAM,GF03,2016,3.927194562102113
NAM,GF03,2017,4.076586815876902
NAM,GF03,2018,3.653343789867839
NAM,GF03,2019,3.863838287962651
NAM,GF03,2020,3.887060025366873
NAM,GF03,2021,3.600315343822971
NAM,GF03,2022,3.466364113938828
NLD,GF03,1995,1.406530275852039
NLD,GF03,1996,1.435852881552273
NLD,GF03,1997,1.409673754260672
