ccaa,anyo,valor,quarter
Canarias,1998,1631004.0,3
Canarias,1999,1640341.0,1
Canarias,1999,1648961.0,3
Canarias,2000,1659062.0,1
Canarias,2000,1667449.0,3
Canarias,2001,1677983.0,1
Canarias,2001,1687310.0,3
Canarias,2002,1703846.0,1
Canarias,2002,1730673.0,3
Canarias,2003,1755693.0,1
Canarias,2003,1779468.0,3
Canarias,2004,1804255.0,1
Canarias,2004,1826843.0,3
Canarias,2005,1853155.0,1
Canarias,2005,1876368.0,3
Canarias,2006,1899609.0,1
Canarias,2006,1921847.0,3
Canarias,2007,1946071.0,1
Canarias,2007,1967966.0,3
Canarias,2008,1991945.0,1
Canarias,2008,2009965.0,3
Canarias,2009,2025486.0,1
Canarias,2009,2034165.0,3
Canarias,2010,2045168.0,1
Canarias,2010,2053116.0,3
Canarias,2011,2064876.0,1
Canarias,2011,2073985.0,3
Canarias,2012,2085928.0,1
Canarias,2012,2087619.0,3
Canarias,2013,2096336.0,1
Canarias,2013,2096214.0,3
Canarias,2014,2098155.0,1
Canarias,2014,2097304.0,3
Canarias,2015,2101319.0,1
Canarias,2015,2099272.0,3
Canarias,2016,2103436.0,1
Canarias,2016,2106942.0,3
Canarias,2017,2115233.0,1
Canarias,2017,2120386.0,3
Canarias,2018,2131581.0,1
Canarias,2018,2139244.0,3
Canarias,2019,2153316.0,1
Canarias,2019,2163045.0,3
Canarias,2020,2176240.0,1
Canarias,2020,2180408.0,3
Canarias,2021,2178924.0,1
Canarias,2021,2177938.0,2
Canarias,2021,2176916.0,3
Canarias,2021,2179969.0,4
Canarias,2022,2185607.0,1
Canarias,2022,2189919.0,2
Canarias,2022,2197327.0,3
Canarias,2022,2205349.0,4
Canarias,2023,2213016.0,1
Canarias,2023,2219147.0,2
Canarias,2023,2224285.0,3
Canarias,2023,2231558.0,4
Canarias,2024,2238754.0,1
Canarias,2024,2242280.0,2
Canarias,2024,2246943.0,3
Canarias,2024,2255021.0,4
Canarias,2025,2258866.0,1
Canarias,2025,2261033.0,2
Canarias,2025,2265411.0,3
Canarias,2025,2272681.0,4
Canarias,2026,2275864.0,1
Canarias,2026,2275462.0,2
Cantabria,1971,469079.0,1
Cantabria,1971,470990.0,3
Cantabria,1972,473066.0,1
Cantabria,1972,475197.0,3
Cantabria,1973,477491.0,1
Cantabria,1973,479531.0,3
Cantabria,1974,481767.0,1
Cantabria,1974,484007.0,3
Cantabria,1975,486312.0,1
Cantabria,1975,488415.0,3
Cantabria,1976,490873.0,1
Cantabria,1976,493153.0,3
Cantabria,1977,495852.0,1
Cantabria,1977,498031.0,3
Cantabria,1978,500527.0,1
Cantabria,1978,502916.0,3
Cantabria,1979,505322.0,1
Cantabria,1979,507173.0,3
Cantabria,1980,509061.0,1
Cantabria,1980,510845.0,3
Cantabria,1981,512608.0,1
Cantabria,1981,514403.0,3
Cantabria,1982,516297.0,1
Cantabria,1982,517855.0,3
Cantabria,1983,519335.0,1
Cantabria,1983,520506.0,3
Cantabria,1984,521651.0,1
Cantabria,1984,522630.0,3
Cantabria,1985,523572.0,1
Cantabria,1985,524258.0,3
Cantabria,1986,524942.0,1
Cantabria,1986,525376.0,3
Cantabria,1987,526081.0,1
Cantabria,1987,526694.0,3
Cantabria,1988,527127.0,1
Cantabria,1988,527324.0,3
Cantabria,1989,527667.0,1
Cantabria,1989,527551.0,3
Cantabria,1990,527688.0,1
Cantabria,1990,527515.0,3
Cantabria,1991,527567.0,1
Cantabria,1991,527770.0,3
Cantabria,1992,528528.0,1
Cantabria,1992,529022.0,3
Cantabria,1993,529686.0,1
Cantabria,1993,530068.0,3
Cantabria,1994,530550.0,1
Cantabria,1994,530940.0,3
Cantabria,1995,531185.0,1
Cantabria,1995,531336.0,3
Cantabria,1996,531601.0,1
Cantabria,1996,531731.0,3
Cantabria,1997,531994.0,1
Cantabria,1997,532231.0,3
Cantabria,1998,532564.0,1
Cantabria,1998,532691.0,3
Cantabria,1999,532996.0,1
Cantabria,1999,533044.0,3
