iso3,cabecera,year,pct_gdp
ESP,nomina,2015,0.0
ESP,nomina,2016,0.0
ESP,nomina,2017,0.0
ESP,nomina,2018,0.0
ESP,nomina,2019,0.0
ESP,nomina,2020,0.0
ESP,nomina,2021,0.0
ESP,nomina,2022,0.0
ESP,nomina,2023,0.0
ESP,nomina,2024,0.0
CHE,nomina,1990,0.0
CHE,nomina,1991,0.0
CHE,nomina,1992,0.0
CHE,nomina,1993,0.0
CHE,nomina,1994,0.0
CHE,nomina,1995,0.0
CHE,nomina,1996,0.0
CHE,nomina,1997,0.0
CHE,nomina,1998,0.0
CHE,nomina,1999,0.0
CHE,nomina,2000,0.0
CHE,nomina,2001,0.0
CHE,nomina,2002,0.0
CHE,nomina,2003,0.0
CHE,nomina,2004,0.0
CHE,nomina,2005,0.0
CHE,nomina,2006,0.0
CHE,nomina,2007,0.0
CHE,nomina,2008,0.0
CHE,nomina,2009,0.0
CHE,nomina,2010,0.0
CHE,nomina,2011,0.0
CHE,nomina,2012,0.0
CHE,nomina,2013,0.0
CHE,nomina,2014,0.0
CHE,nomina,2015,0.0
CHE,nomina,2016,0.0
CHE,nomina,2017,0.0
CHE,nomina,2018,0.0
CHE,nomina,2019,0.0
CHE,nomina,2020,0.0
CHE,nomina,2021,0.0
CHE,nomina,2022,0.0
CHE,nomina,2023,0.0
CHE,nomina,2024,0.0
TUR,nomina,1990,0.0
TUR,nomina,1991,0.0
TUR,nomina,1992,0.0
TUR,nomina,1993,0.0
TUR,nomina,1994,0.0
TUR,nomina,1995,0.0
TUR,nomina,1996,0.0
TUR,nomina,1997,0.0
TUR,nomina,1998,0.0
TUR,nomina,1999,0.0
TUR,nomina,2000,0.0
TUR,nomina,2001,0.0
TUR,nomina,2002,0.0
TUR,nomina,2003,0.0
TUR,nomina,2004,0.0
TUR,nomina,2005,0.0
TUR,nomina,2006,0.0
TUR,nomina,2007,0.0
TUR,nomina,2008,0.0
TUR,nomina,2009,0.0
TUR,nomina,2010,0.0
TUR,nomina,2011,0.0
TUR,nomina,2012,0.0
TUR,nomina,2013,0.0
TUR,nomina,2014,0.0
TUR,nomina,2015,0.0
TUR,nomina,2016,0.0
TUR,nomina,2017,0.0
TUR,nomina,2018,0.0
TUR,nomina,2019,0.0
TUR,nomina,2020,0.0
TUR,nomina,2021,0.0
TUR,nomina,2022,0.0
TUR,nomina,2023,0.0
TUR,nomina,2024,0.0
GBR,nomina,1990,0.0
GBR,nomina,1991,0.0
GBR,nomina,1992,0.0
GBR,nomina,1993,0.0
CPV,nomina,1990,0.0
CPV,nomina,1991,0.0
