freq,unit,sex,age,geo,time,value
A,YR,T,Y_LT1,ES,2019,83.5
A,YR,T,Y_LT1,ES,2020,82.3
A,YR,T,Y_LT1,ES,2021,83.0
A,YR,T,Y_LT1,ES,2022,83.1
A,YR,T,Y_LT1,ES,2023,83.8
A,YR,T,Y_LT1,ES,2024,84.0
A,YR,T,Y_LT1,EU27_2007,2002,77.7
A,YR,T,Y_LT1,EU27_2007,2003,77.8
A,YR,T,Y_LT1,EU27_2007,2004,78.4
A,YR,T,Y_LT1,EU27_2007,2005,78.5
A,YR,T,Y_LT1,EU27_2007,2006,79.0
A,YR,T,Y_LT1,EU27_2007,2007,79.2
A,YR,T,Y_LT1,EU27_2007,2008,79.4
A,YR,T,Y_LT1,EU27_2007,2009,79.7
A,YR,T,Y_LT1,EU27_2007,2010,80.0
A,YR,T,Y_LT1,EU27_2007,2011,80.3
A,YR,T,Y_LT1,EU27_2007,2012,80.3
A,YR,T,Y_LT1,EU27_2007,2013,80.6
A,YR,T,Y_LT1,EU27_2007,2014,80.9
A,YR,T,Y_LT1,EU27_2007,2015,80.6
A,YR,T,Y_LT1,EU27_2007,2016,81.0
A,YR,T,Y_LT1,EU27_2007,2017,81.0
A,YR,T,Y_LT1,EU27_2007,2018,81.0
A,YR,T,Y_LT1,EU27_2020,2002,77.6
A,YR,T,Y_LT1,EU27_2020,2003,77.7
A,YR,T,Y_LT1,EU27_2020,2004,78.3
A,YR,T,Y_LT1,EU27_2020,2005,78.4
A,YR,T,Y_LT1,EU27_2020,2006,78.9
A,YR,T,Y_LT1,EU27_2020,2007,79.1
A,YR,T,Y_LT1,EU27_2020,2008,79.3
A,YR,T,Y_LT1,EU27_2020,2009,79.5
A,YR,T,Y_LT1,EU27_2020,2010,79.8
A,YR,T,Y_LT1,EU27_2020,2011,80.1
A,YR,T,Y_LT1,EU27_2020,2012,80.2
A,YR,T,Y_LT1,EU27_2020,2013,80.5
A,YR,T,Y_LT1,EU27_2020,2014,80.6
A,YR,T,Y_LT1,EU27_2020,2015,80.5
A,YR,T,Y_LT1,EU27_2020,2016,80.7
A,YR,T,Y_LT1,EU27_2020,2017,80.7
A,YR,T,Y_LT1,EU27_2020,2018,80.8
A,YR,T,Y_LT1,EU27_2020,2019,81.1
A,YR,T,Y_LT1,EU27_2020,2020,80.3
A,YR,T,Y_LT1,EU27_2020,2021,80.0
A,YR,T,Y_LT1,EU27_2020,2022,80.6
A,YR,T,Y_LT1,EU27_2020,2023,81.2
A,YR,T,Y_LT1,EU27_2020,2024,81.5
A,YR,T,Y_LT1,EU28,2002,77.7
A,YR,T,Y_LT1,EU28,2003,77.7
A,YR,T,Y_LT1,EU28,2004,78.4
A,YR,T,Y_LT1,EU28,2005,78.5
A,YR,T,Y_LT1,EU28,2006,78.9
A,YR,T,Y_LT1,EU28,2007,79.1
A,YR,T,Y_LT1,EU28,2008,79.4
A,YR,T,Y_LT1,EU28,2009,79.6
A,YR,T,Y_LT1,EU28,2010,79.9
A,YR,T,Y_LT1,EU28,2011,80.2
A,YR,T,Y_LT1,EU28,2012,80.3
A,YR,T,Y_LT1,EU28,2013,80.5
A,YR,T,Y_LT1,EU28,2014,80.9
A,YR,T,Y_LT1,EU28,2015,80.6
A,YR,T,Y_LT1,EU28,2016,81.0
A,YR,T,Y_LT1,EU28,2017,80.9
A,YR,T,Y_LT1,EU28,2018,81.0
A,YR,T,Y_LT1,FI,1995,76.7
