freq,unit,asset10,geo,time,value
A,PC_GDP,N111G,EL,2014,1.1
A,PC_GDP,N111G,EL,2015,0.8
A,PC_GDP,N111G,EL,2016,0.7
A,PC_GDP,N111G,EL,2017,0.6
A,PC_GDP,N111G,EL,2018,0.7
A,PC_GDP,N111G,EL,2019,0.8
A,PC_GDP,N111G,EL,2020,1.1
A,PC_GDP,N111G,EL,2021,1.3
A,PC_GDP,N111G,EL,2022,2.0
A,PC_GDP,N111G,EL,2023,2.3
A,PC_GDP,N111G,EL,2024,2.6
A,PC_GDP,N111G,EL,2025,3.1
A,PC_GDP,N111G,ES,1995,6.0
A,PC_GDP,N111G,ES,1996,6.2
A,PC_GDP,N111G,ES,1997,6.2
A,PC_GDP,N111G,ES,1998,6.5
A,PC_GDP,N111G,ES,1999,7.1
A,PC_GDP,N111G,ES,2000,8.7
A,PC_GDP,N111G,ES,2001,9.0
A,PC_GDP,N111G,ES,2002,9.5
A,PC_GDP,N111G,ES,2003,10.2
A,PC_GDP,N111G,ES,2004,10.7
A,PC_GDP,N111G,ES,2005,11.3
A,PC_GDP,N111G,ES,2006,11.7
A,PC_GDP,N111G,ES,2007,11.4
A,PC_GDP,N111G,ES,2008,9.9
A,PC_GDP,N111G,ES,2009,7.7
A,PC_GDP,N111G,ES,2010,6.5
A,PC_GDP,N111G,ES,2011,5.3
A,PC_GDP,N111G,ES,2012,4.6
A,PC_GDP,N111G,ES,2013,3.8
A,PC_GDP,N111G,ES,2014,4.1
A,PC_GDP,N111G,ES,2015,3.9
A,PC_GDP,N111G,ES,2016,4.2
A,PC_GDP,N111G,ES,2017,4.7
A,PC_GDP,N111G,ES,2018,5.3
A,PC_GDP,N111G,ES,2019,5.6
A,PC_GDP,N111G,ES,2020,5.8
A,PC_GDP,N111G,ES,2021,5.6
A,PC_GDP,N111G,ES,2022,6.0
A,PC_GDP,N111G,ES,2023,5.8
A,PC_GDP,N111G,ES,2024,5.7
A,PC_GDP,N111G,ES,2025,5.8
A,PC_GDP,N111G,EU27_2020,1995,5.9
A,PC_GDP,N111G,EU27_2020,1996,5.8
A,PC_GDP,N111G,EU27_2020,1997,5.7
A,PC_GDP,N111G,EU27_2020,1998,5.7
A,PC_GDP,N111G,EU27_2020,1999,5.8
A,PC_GDP,N111G,EU27_2020,2000,5.8
A,PC_GDP,N111G,EU27_2020,2001,5.6
A,PC_GDP,N111G,EU27_2020,2002,5.6
A,PC_GDP,N111G,EU27_2020,2003,5.7
A,PC_GDP,N111G,EU27_2020,2004,5.9
A,PC_GDP,N111G,EU27_2020,2005,6.1
A,PC_GDP,N111G,EU27_2020,2006,6.4
A,PC_GDP,N111G,EU27_2020,2007,6.4
A,PC_GDP,N111G,EU27_2020,2008,6.1
A,PC_GDP,N111G,EU27_2020,2009,5.5
A,PC_GDP,N111G,EU27_2020,2010,5.3
A,PC_GDP,N111G,EU27_2020,2011,5.1
A,PC_GDP,N111G,EU27_2020,2012,5.0
A,PC_GDP,N111G,EU27_2020,2013,4.8
A,PC_GDP,N111G,EU27_2020,2014,4.8
A,PC_GDP,N111G,EU27_2020,2015,4.7
A,PC_GDP,N111G,EU27_2020,2016,4.9
A,PC_GDP,N111G,EU27_2020,2017,5.0
A,PC_GDP,N111G,EU27_2020,2018,5.1
A,PC_GDP,N111G,EU27_2020,2019,5.2
A,PC_GDP,N111G,EU27_2020,2020,5.5
A,PC_GDP,N111G,EU27_2020,2021,5.8
A,PC_GDP,N111G,EU27_2020,2022,6.0
A,PC_GDP,N111G,EU27_2020,2023,5.8
A,PC_GDP,N111G,EU27_2020,2024,5.1
A,PC_GDP,N111G,EU27_2020,2025,5.0
A,PC_GDP,N111G,FI,1995,4.5
A,PC_GDP,N111G,FI,1996,4.5
A,PC_GDP,N111G,FI,1997,4.9
A,PC_GDP,N111G,FI,1998,5.3
A,PC_GDP,N111G,FI,1999,5.7
A,PC_GDP,N111G,FI,2000,6.1
A,PC_GDP,N111G,FI,2001,5.3
A,PC_GDP,N111G,FI,2002,5.1
A,PC_GDP,N111G,FI,2003,5.5
A,PC_GDP,N111G,FI,2004,6.0
